(t1:0.196219079,(((((t7:0.06663895026,t2:0.7316480987):0.09459540411,t5:0.7894584325):0.2270181915,t6:0.6648435646):0.7320983948,t3:0.3568848532):0.2339764086,t4:0.4712708404):0.8272770746);
((((t1:0.9617352656,t4:0.8674165008):0.9834123102,t7:0.4719071265):0.3851092621,(t5:0.4419858851,(t3:0.6685069357,t2:0.6853415107):0.7694403685):0.2046425792):0.752804338,t6:0.4815096075);
((((t1:0.4821681483,t6:0.9115791973):0.7529419221,t4:0.4006320916):0.4782233208,t7:0.8937430028):0.1534304223,(t5:0.9206419999,(t2:0.0846511228,t3:0.9019664018):0.5865132411):0.363801738);
(((t5:0.6402112017,(t3:0.4887917116,(t7:0.9740739318,t4:0.289924735):0.7725864761):0.5678194438):0.4718056801,t6:0.7125774852):0.3228955693,(t2:0.9993780267,t1:0.429553872):0.3646022179);
((t3:0.4151685191,(t7:0.7695476327,t2:0.5677798614):0.5516594807):0.9823945221,((t4:0.6771863536,t1:0.6489629883):0.507321008,(t6:0.9340820147,t5:0.8469068841):0.2446783816):0.2615636012);
(((((t2:0.9445623695,t7:0.7109639905):0.336841881,t6:0.04867817787):0.6568546155,(t3:0.5867260422,t1:0.351711418):0.5514409386):0.7214133565,t5:0.4890954327):0.4624318869,t4:0.8422758826);
(((t4:0.5617850942,t5:0.7945080909):0.6136618045,(t6:0.9369416053,((t7:0.2029002018,t1:0.7285909217):0.1250605513,t2:0.4821846629):0.6039990517):0.9396146112):0.7398726842,t3:0.8453479914);
(((t4:0.5146612807,t7:0.4132576697):0.6910662027,(t5:0.2597199013,t3:0.02464399766):0.8268688465):0.01714847423,((t6:0.9689443789,t2:0.7209751022):0.02307524276,t1:0.5315054688):0.5490938211);
((t2:0.434269849,(t5:0.1678754885,t3:0.1360765935):0.7885615479):0.1105110787,((t4:0.01894865953,t7:0.07897872757):0.4129515393,(t1:0.9764710169,t6:0.4322649902):0.5679422866):0.2533972219);
((((t2:0.3701001117,(t4:0.05930199591,t5:0.8941042644):0.8885632111):0.9231666112,t7:0.5315479718):0.5840397917,t6:0.6454158348):0.5830300692,(t1:0.904908217,t3:0.6178719555):0.4531277306);
(((t2:0.07824165863,t7:0.8807921708):0.05554792285,t4:0.8251316135):0.6486740957,((t5:0.05870476505,t6:0.4775047326):0.6871005781,(t1:0.824417827,t3:0.6951907221):0.5519610159):0.1710935056);
((((t6:0.3985391113,t5:0.4378321976):0.6074553409,t3:0.4844772941):0.9590411277,(t7:0.4420675128,t4:0.08293020446):0.6086398293):0.4308969735,(t1:0.5989619659,t2:0.3343544244):0.008756327908);
((((t4:0.7713487698,t2:0.7759677779):0.04727623542,t3:0.2407618607):0.5907079238,(t1:0.4216198348,t6:0.7296337474):0.9437133863):0.6076525431,(t7:0.2627413806,t5:0.5814111233):0.736837893);
(((t5:0.08374094823,t4:0.649298378):0.4729876264,(t3:0.3251966108,t2:0.007348132785):0.1846638641):0.5334989727,(t1:0.1965033719,(t7:0.3434541377,t6:0.4981368165):0.3253267463):0.7708648283);
(((t7:0.9042723891,t1:0.6288627936):0.4242614498,t5:0.03084380087):0.4530794946,(t6:0.6069708464,(t3:0.3805271825,(t4:0.9609656001,t2:0.9202381449):0.9729844094):0.7624287689):0.8135457744);
((t6:0.3839200689,t2:0.5036108398):0.1711091506,((t3:0.7089501547,t4:0.5106645066):0.2521534341,(t1:0.4241648989,(t5:0.8841128559,t7:0.9269764232):0.3392162968):0.02319448953):0.1693638421);
(((t3:0.699510324,t7:0.5785714772):0.2433558528,t5:0.7151072989):0.6691847551,((t4:0.5114561571,(t1:0.9513660185,t2:0.2621560378):0.02255839831):0.5240789994,t6:0.9741743205):0.6083452948);
((t2:0.9697556312,(((t5:0.8011488242,t4:0.3698469205):0.7294499383,t7:0.2956235136):0.6245371595,(t3:0.09482378443,t1:0.8411626678):0.561834146):0.4951536071):0.5294031478,t6:0.4079618535);
(((t2:0.8177382732,t4:0.5762928766):0.3149840166,t6:0.9248723984):0.05150207342,((t5:0.8673961482,(t1:0.2965991593,t7:0.6577533146):0.4678745689):0.7551482795,t3:0.003430863144):0.3565853469);
((t2:0.8012855006,(t3:0.5107442588,t6:0.4644673956):0.9512092727):0.3202026861,((t4:0.02925512404,t1:0.9691039827):0.8388429792,(t7:0.5931731116,t5:0.7185195736):0.359319781):0.9979746342);
((t1:0.932795895,(t4:0.2981623022,t7:0.564651255):0.01401863573):0.2191858599,(t5:0.203079297,(t2:0.8306703209,(t6:0.638833479,t3:0.2647373655):0.9912117412):0.3471869905):0.9122788063);
((t6:0.9535091606,((t1:0.3120663459,t2:0.3413700294):0.5898404333,t3:0.6912647351):0.1573478237):0.7749909996,((t7:0.8759316781,t5:0.5876943527):0.2956754477,t4:0.9532194815):0.7143411506);
((t3:0.6537782941,t1:0.3325654126):0.1240611675,((t4:0.6619047206,(t6:0.6221158188,t7:0.5527470501):0.5431023198):0.330735435,(t2:0.1336020082,t5:0.5760269242):0.6980043603):0.7256116597);
(t6:0.3802416255,((t7:0.4794760314,t4:0.839504061):0.2125509889,(t1:0.6449730676,((t3:0.4026412109,t2:0.155410124):0.7750231647,t5:0.8767018863):0.1762109573):0.9280974171):0.002967276843);
(((t6:0.3151180882,t1:0.9168160048):0.7495360544,(t4:0.2341268433,t3:0.6360429979):0.1820023311):0.8049561814,((t7:0.2597673326,t2:0.4253371437):0.4213519127,t5:0.04383780202):0.8982860474);
((t3:0.581708042,(t6:0.06769771036,t2:0.2483855446):0.788495332):0.1014545348,(((t7:0.9215716622,t4:0.3880627886):0.2471698371,t5:0.08475150843):0.3447587895,t1:0.2552200884):0.1405949469);
((((t4:0.715333672,t3:0.5155052559):0.3958618976,t5:0.5481627893):0.3899529998,(t2:0.0187403711,t1:0.05578743317):0.9687313663):0.688523487,(t7:0.4505302631,t6:0.6144337233):0.9465426493);
((t6:0.3022361747,((t7:0.1660000796,(t1:0.883409943,t5:0.7430194388):0.3098061869):0.432136579,t4:0.5885640134):0.9037687306):0.149147063,(t3:0.9132365989,t2:0.567049566):0.5108231765);
((((t6:0.3037929544,(t5:0.2615316131,t7:0.7060152581):0.2379953805):0.9001676431,t3:0.7704099147):0.05694703502,t4:0.1835182551):0.2864578264,(t2:0.7880361141,t1:0.3721300683):0.2027276708);
(t6:0.6583731603,((t1:0.007566519314,(t7:0.3013735858,(t4:0.4276722821,t3:0.910629693):0.0177835694):0.01878009783):0.09439502377,(t2:0.6182293228,t5:0.4079407856):0.06934396713):0.6577791469);
((t4:0.003891444067,(t6:0.5817829284,((t2:0.590064456,t1:0.3519994):0.5545337133,(t5:0.1335885439,t7:0.160987535):0.521695477):0.9205043495):0.1760564744):0.6799516326,t3:0.2648217948);
((t1:0.7745149606,(t3:0.2878645114,t5:0.6798132227):0.6764712792):0.3132909266,((t4:0.8613541718,(t2:0.9048078891,t6:0.3235086373):0.3644684989):0.6148143881,t7:0.01582976081):0.7690991207);
((t1:0.5552514961,((t7:0.3197773946,t3:0.8326017566):0.08959856606,(t4:0.3903435525,t6:0.2902667848):0.3235665739):0.9503760086):0.9704982038,(t2:0.293706737,t5:0.9741970026):0.003963595256);
(t1:0.491295038,((t2:0.8370876345,(t3:0.501779791,t6:0.998844916):0.6724650338):0.738639266,((t7:0.2544057628,t5:0.8362190239):0.3174725652,t4:0.5299883843):0.7103297401):0.4663975514);
((((t1:0.556121523,t6:0.3732204668):0.4287454395,t3:0.290236102):0.0192619306,t4:0.8906616408):0.2157816153,(t5:0.6605196001,(t7:0.7581676121,t2:0.9832707283):0.5940096201):0.3173855974);
((t5:0.459114071,t3:0.7077532078):0.2689048345,(((t7:0.4738199802,t4:0.2785394215):0.4891777579,t1:0.8824748134):0.8644334506,(t2:0.3565468187,t6:0.01639873604):0.459452051):0.3127404377);
(((t6:0.11829963,t3:0.6434134613):0.8783200609,t5:0.954968892):0.3208965312,(((t7:0.7889463867,t4:0.01039313455):0.1987534021,t2:0.5562898954):0.2336628051,t1:0.1760666068):0.4207819628);
((t2:0.6371459337,t5:0.3428795631):0.7130945602,((t4:0.2412513513,t3:0.5854021863):0.5887543729,((t7:0.7588683092,t1:0.496526177):0.6515280483,t6:0.6891066767):0.6843850943):0.6555135711);
(t3:0.8761899516,(((t6:0.1468427924,t2:0.02282077237):0.8173672846,(t4:0.4570820655,t5:0.4638609304):0.1349537203):0.1308743921,(t1:0.2400314147,t7:0.6679181152):0.2919570454):0.4609873488);
((t3:0.8749541014,t1:0.4466472005):0.2672376963,((t2:0.8498429251,t6:0.008784159319):0.009740921203,((t7:0.9401865448,t4:0.4199219116):0.263977739,t5:0.03321549133):0.1829424917):0.9030046931);
((t2:0.2587591519,t7:0.3962308883):0.1953398034,((t1:0.1780188456,t4:0.3996676602):0.5455067798,(t3:0.8613560677,(t6:0.3376908069,t5:0.2066462571):0.980713523):0.4051374376):0.04849692923);
((((t6:0.896727836,t3:0.5671006595):0.1796765595,t4:0.2437170947):0.3540575288,(t2:0.6342868172,t1:0.2857404903):0.1136529488):0.9949145217,(t5:0.2711944587,t7:0.2934709978):0.6097614355);
(((t6:0.9133830243,(t2:0.523929612,((t7:0.3324287659,t1:0.9215449854):0.5317547943,t5:0.5908583039):0.7349158307):0.004343047971):0.5639112662,t3:0.1139647486):0.6384285898,t4:0.4859745114);
(t7:0.2292988012,((t1:0.9536636702,t3:0.5014798227):0.1582136473,(((t6:0.5637699009,t2:0.1220812213):0.8534551207,t5:0.9617850985):0.6985705048,t4:0.1942774663):0.7843458154):0.01939347503);
((t7:0.7683888776,t4:0.1796687036):0.5900599181,(t3:0.3786226509,((t1:0.1863651655,t6:0.4323682473):0.8536235902,(t5:0.8596350967,t2:0.7750268197):0.9858794229):0.6791260252):0.216006306);
((t1:0.6907251505,(t7:0.1999723662,t6:0.6158336806):0.04502043477):0.9983798845,((t2:0.7343377706,(t4:0.9779380809,t5:0.2221466126):0.3826589352):0.6241650125,t3:0.9667615725):0.2353625682);
(t3:0.7794758596,(((t7:0.6811865587,t1:0.03201900376):0.323491303,((t4:0.9843065566,t2:0.1232032313):0.9367218674,t5:0.3108127266):0.8838098221):0.2678918038,t6:0.4032414735):0.1029654972);
(t3:0.4958288006,(((t1:0.4644844716,t7:0.5695505734):0.9615933937,(t2:0.7926404015,(t4:0.3254067542,t6:0.917787089):0.388245244):0.05498566385):0.7780326279,t5:0.6474235957):0.08040818828);
((t6:0.1025652797,((t3:0.8252022734,t1:0.1837742259):0.5895160995,(t5:0.7232171411,t7:0.2113518161):0.5413541626):0.3319281242):0.8145511383,(t2:0.2841046157,t4:0.8230845581):0.6621420353);
(((((t5:0.6163365161,t3:0.4299071052):0.07551094424,t6:0.6712221575):0.9443278129,t4:0.8306186877):0.3501286348,t2:0.7684447165):0.6929756715,(t1:0.369446991,t7:0.3824299334):0.6020679723);
(((t4:0.9260269941,t5:0.5121103977):0.04321998963,(t3:0.9259839635,t7:0.5593038409):0.585715198):0.002705401042,(t2:0.3233461373,(t6:0.5408898378,t1:0.5329710662):0.2786321833):0.7525064296);
(((t1:0.5207032661,t2:0.007942633238):0.4016616216,t5:0.7203277582):0.9046968969,(((t6:0.5680910903,t7:0.5015424949):0.1734658366,t4:0.005823938176):0.2973277548,t3:0.6959403669):0.6780321517);
(((t4:0.2470154807,t6:0.7011996927):0.3181722665,t2:0.7178787086):0.7647803037,((t3:0.5994255852,t1:0.8307010147):0.2648970047,(t5:0.04871971812,t7:0.1436675594):0.2119618324):0.4198225646);
((t3:0.184474156,(t4:0.7248070447,t7:0.7050988553):0.1992355851):0.5184755332,((t2:0.5403067141,(t5:0.5782596571,t6:0.7474337053):0.7552644343):0.8180114117,t1:0.22568267):0.8849564656);
((t2:0.5121294945,((t3:0.3602308088,t1:0.4359498613):0.1621408577,t7:0.964139719):0.5040821419):0.2503649725,((t4:0.1373784742,t6:0.7437679963):0.2898671543,t5:0.4251901095):0.941621758);
(t7:0.3626030262,((((t6:0.5260781068,t4:0.2965043276):0.650071355,(t1:0.05004672264,t2:0.2719953603):0.4905110968):0.8363836729,t3:0.2550819793):0.6262951447,t5:0.6684001742):0.4237777314);
((((t5:0.8944268115,t6:0.4744228125):0.3437256056,t1:0.4067218485):0.8973506845,(t3:0.1155404423,(t2:0.68019835,t4:0.9121563414):0.9351284886):0.1600257528):0.9457383221,t7:0.3045441697);
(t1:0.7408193464,(((t6:0.8520598724,t3:0.5701676649):0.148394272,(t5:0.09329439537,t2:0.4556059625):0.352723117):0.1490276644,(t4:0.6135189026,t7:0.5025501747):0.8925577225):0.6057870551);
((t1:0.5891231569,(t6:0.02738421364,t2:0.3087772937):0.09881328582):0.01924859243,((t3:0.3006347644,(t5:0.8337884201,t4:0.6552466487):0.7567318571):0.05543769384,t7:0.7997809371):0.004633859498);
((((t6:0.79046752,t5:0.9209185322):0.6929517642,t3:0.01925859344):0.2174760259,(t2:0.4175527275,t1:0.8291129915):0.1532185115):0.05218954477,(t7:0.1172452725,t4:0.38304975):0.7300159906);
((((t5:0.8548556245,t1:0.08322669915):0.5121323888,t3:0.4997139415):0.4625479067,((t7:0.4980174298,t6:0.7436813917):0.7523872328,t4:0.3181819925):0.5185934522):0.02464389405,t2:0.7322460397);
(((((t1:0.9606297368,t7:0.06411996996):0.3981863505,t3:0.8969780735):0.6671641525,t4:0.6962066325):0.2913523859,t6:0.9422374752):0.2134070462,(t2:0.294571484,t5:0.5347600435):0.2552421596);
(((t3:0.9589532183,t2:0.03380319825):0.01027315948,t4:0.8182089308):0.8024223074,((t6:0.7426232295,t7:0.3486814837):0.05291342316,(t5:0.3824092548,t1:0.354219272):0.4554900911):0.543201348);
(t1:0.4604586069,((t6:0.9658142657,(t5:0.1369020704,t4:0.3316459346):0.3998588419):0.7928443763,((t7:0.2987597354,t3:0.3845874052):0.7411956149,t2:0.8677132335):0.1145413567):0.1026321058);
(((t1:0.7440125081,t4:0.3779791119):0.6323608337,t7:0.9634053227):0.6484011768,(t5:0.5805313499,((t2:0.3424325523,t3:0.6013894842):0.184649535,t6:0.1258911816):0.08965013712):0.6479084215);
(((t3:0.1793465216,t6:0.2672781958):0.9982828407,(t2:0.8244882987,t4:0.9267341206):0.03487212397):0.9631912094,((t7:0.6795184824,t1:0.6987825988):0.4723104136,t5:0.3507984031):0.6084620184);
(((t6:0.844334289,t1:0.9107986533):0.08764768508,((t3:0.3262584882,t2:0.03668247652):0.7227848927,(t7:0.9176852105,t5:0.6521662199):0.5271411394):0.03154218849):0.4197941858,t4:0.1292806088);
(t2:0.9056176364,((t6:0.6410162405,t5:0.6643403678):0.3506035092,(t4:0.2061588024,((t1:0.9581700298,t3:0.6897887867):0.05480219261,t7:0.7748319195):0.1764039535):0.4537671725):0.2098429529);
((((t7:0.560046846,t6:0.04893349414):0.5989983447,t3:0.3092796959):0.9657811362,(t1:0.2640887136,t2:0.5364039966):0.08336716006):0.7995171677,(t5:0.01431522402,t4:0.6350754446):0.6888886159);
((t6:0.9241712964,((t5:0.683474927,t3:0.03266383568):0.4726377486,t7:0.3406963253):0.5383128666):0.443930377,((t1:0.5981375992,t2:0.6131718361):0.3578307582,t4:0.6653953951):0.452904667);
(((t7:0.378804741,t5:0.3878677941):0.769127009,((t1:0.4252108966,(t3:0.2634148581,t2:0.3309137553):0.5863062423):0.8438670554,t6:0.6803304211):0.9076880661):0.595342119,t4:0.1950829444);
(((t6:0.696419873,(t3:0.8759625684,t2:0.7381312822):0.3108245938):0.4252205498,(t5:0.4988371499,t4:0.2768968286):0.2184833558):0.2344181815,(t1:0.3027323831,t7:0.2467622187):0.0380926244);
(t2:0.2491951247,(t1:0.6079541568,(t3:0.2179095699,(t5:0.4599395283,(t7:0.5767690623,(t6:0.6984194412,t4:0.1436217055):0.75501002):0.3760991178):0.5809979972):0.9051103585):0.9951619774);
(t5:0.1084983663,(((t4:0.09750906588,t1:0.9588517062):0.5160171783,((t3:0.7177068039,t6:0.5633110828):0.5374277169,t2:0.5525281059):0.907041905):0.9585576095,t7:0.1057270344):0.03888977226);
(((t4:0.3599139901,t5:0.921025984):0.8889345264,((t6:0.7587206676,t7:0.9175164201):0.7365174228,t3:0.9778493063):0.5596650059):0.3077177217,(t2:0.1324876149,t1:0.71662329):0.1445302861);
((t3:0.5771421634,((t6:0.06165465247,t2:0.3666503434):0.4622722934,t1:0.619313095):0.01494658808):0.6885438252,(t7:0.3621172216,(t4:0.7241593578,t5:0.4336850804):0.7654269692):0.3680036399);
(((t2:0.6755346337,t4:0.1073174027):0.8970592709,(t1:0.08866470284,t7:0.3750069709):0.01662154752):0.7206751765,((t3:0.08242142946,t5:0.5426342362):0.7143312504,t6:0.1519943189):0.6071816171);
(t7:0.6509645057,((t5:0.748372033,(t1:0.03186391713,(t2:0.4486451771,t6:0.4983944676):0.6471538572):0.6437299685):0.008662945591,(t3:0.9178273245,t4:0.6992905715):0.3114035544):0.5686391538);
(((t4:0.1113389004,(t3:0.01837610011,t5:0.613325061):0.05121041602):0.8580195205,((t1:0.1306908433,t6:0.1302128688):0.3928950382,t7:0.7278892221):0.9981038526):0.8178015344,t2:0.05935194949);
(((t1:0.9618960782,t6:0.7569302034):0.9620449028,((t7:0.5151208723,t2:0.3743648666):0.4973945732,(t3:0.4516206232,t4:0.7713585338):0.8422863514):0.3163865246):0.7475793362,t5:0.4468533744);
(t2:0.134835785,((t4:0.175397798,t1:0.1824389596):0.4959516504,((t3:0.672711276,(t6:0.09867479512,t5:0.293721667):0.7022597981):0.4010707382,t7:0.6975565527):0.677888995):0.1548994787);
(((t3:0.1695620834,t7:0.8722826557):0.4783466766,(t2:0.2628686414,t5:0.6948331709):0.3620717283):0.7914002731,((t1:0.2252654047,t6:0.6407095713):0.2619313367,t4:0.4110747334):0.2964875228);
((t7:0.5885270461,(((t5:0.09894446004,t1:0.6337810149):0.348974979,t3:0.5718929993):0.685492492,(t6:0.4521206263,t2:0.03628881555):0.3604971869):0.5920403523):0.1904309886,t4:0.1806675915);
((((t7:0.5936439952,t1:0.6602833264):0.3919155623,t3:0.8449912514):0.6057952023,(t5:0.1061423777,(t2:0.8798624563,t4:0.8598712706):0.5928232905):0.9600809331):0.6433262543,t6:0.8411081461);
(t1:0.2485165556,((t7:0.8757174059,(t5:0.9286232751,t4:0.4569107778):0.2210127458):0.7099370959,(t3:0.7215508837,(t2:0.1756797463,t6:0.6510948038):0.2647230886):0.1123671425):0.5708172191);
(((t4:0.6265743042,t7:0.6865962872):0.02785163699,(t2:0.4074099576,t6:0.953235436):0.9777255398):0.9421666313,(t3:0.2099115038,(t5:0.247812429,t1:0.9713261188):0.5931980938):0.464014706);
(((t7:0.2227053184,t1:0.0139936707):0.3958703154,(t3:0.4937193706,t2:0.9671656236):0.3052038932):0.6474781604,((t6:0.3934148455,t4:0.398333559):0.6308453002,t5:0.08143023378):0.04215882206);
(((t3:0.2821070515,(t6:0.4404742741,t2:0.1436788558):0.5352540095):0.9922480665,((t4:0.5652639668,t7:0.1629776887):0.3212976744,t5:0.6294216882):0.7898386181):0.4234410035,t1:0.02042207238);
(((t3:0.341113782,t6:0.4093535577):0.1909911628,((t4:0.560464002,(t5:0.9578531187,t1:0.8650407633):0.9767084992):0.4186388936,t2:0.820963121):0.2784303438):0.3319514024,t7:0.400811658);
((t5:0.4960387857,t3:0.3910127194):0.0403391202,((t4:0.8338737378,t2:0.5074866889):0.7013965263,(t1:0.5759775687,(t6:0.3040152253,t7:0.3807534729):0.2503103269):0.08631176245):0.5914362487);
(((t2:0.8345132535,t6:0.4998976139):0.4053285036,t5:0.3779124536):0.6968905178,(t3:0.1699902581,(t7:0.7540385204,(t1:0.0890564404,t4:0.376074126):0.8666575723):0.4751232695):0.8125270568);
(((t3:0.9098839071,t2:0.7949029622):0.4442688958,(t7:0.0295880835,t4:0.1884495174):0.05096533499):0.7833062841,(t5:0.7749013233,(t6:0.7119738178,t1:0.6348647785):0.184229082):0.3327660179);
((t4:0.3095606216,t1:0.07966012415):0.3817237003,(((t7:0.3877429352,(t6:0.5101975859,t5:0.7162679133):0.8621696793):0.07532248995,t2:0.5967448684):0.8555461008,t3:0.6731270589):0.7499636395);
((t3:0.04338176153,(((t7:0.01578670414,t6:0.4280080351):0.7219428923,t2:0.5990349711):0.7807109875,t5:0.9642867267):0.9804226442):0.5371242587,(t1:0.445250443,t4:0.09949037037):0.02223323518);
(((t1:0.9274726247,t5:0.3164116612):0.9506458559,((t3:0.07350317785,t7:0.6040209399):0.1675856428,t4:0.5369657048):0.4595414847):0.3942846467,(t6:0.974294479,t2:0.1926075402):0.9712996634);
(((t2:0.8984357452,(t7:0.9106896233,t4:0.6525634362):0.5286797921):0.4280145545,t1:0.1107581637):0.5585178176,((t6:0.726129421,t3:0.9630581257):0.546621582,t5:0.2321822008):0.2069321224);
((t1:0.8865988154,(t3:0.01351324422,((t4:0.9758855216,t7:0.3159749163):0.8088783564,(t2:0.005680843722,t6:0.3683127058):0.3558186386):0.8536996525):0.3793714324):0.2519818458,t5:0.488060266);
((t3:0.04774114001,t2:0.5288207906):0.287486311,(((t7:0.1157236702,t6:0.3740497334):0.236318819,t5:0.6594567827):0.8073073893,(t1:0.8912045246,t4:0.9892573459):0.4650711622):0.08466705983);
((t2:0.6796000984,t1:0.7572450091):0.9409243513,((t4:0.7519953302,(t5:0.1816471149,t7:0.5734017435):0.371007283):0.8476085318,(t3:0.2528576381,t6:0.9614213503):0.2802201945):0.4879861667);
(((((t4:0.1859156727,t7:0.8876407153):0.9171965616,t5:0.9311033592):0.6626248183,t6:0.6067197851):0.248353821,(t1:0.4258043529,t2:0.7700077456):0.8558436115):0.1229715133,t3:0.4142680881);
((t4:0.7210235377,(t1:0.7323694618,(t6:0.9728416717,t5:0.02028549393):0.1061932589):0.7267331982):0.6442501927,(t3:0.1302374436,(t7:0.9172229206,t2:0.9783832417):0.2390074919):0.2286013905);
(t4:0.445910932,((t2:0.7707583965,t6:0.4224556333):0.8305772843,(t3:0.4993299146,((t5:0.3657657013,t1:0.634762726):0.7273329236,t7:0.1160962193):0.7122817412):0.3840972942):0.6834610493);
((((t3:0.2367046557,t5:0.4577121253):0.2813178883,(t2:0.1055670441,t6:0.2138731999):0.7300760446):0.169736309,(t4:0.4993964888,t1:0.6230422142):0.441260841):0.2630208947,t7:0.989329373);
(t7:0.7758985886,((t6:0.8902205445,(t2:0.4322224241,(t5:0.6147161485,t4:0.5621548444):0.9291989461):0.2221822776):0.4346582172,(t1:0.08287802152,t3:0.8251373305):0.4905617577):0.9280495185);
(((((t2:0.08928210055,t3:0.7746325145):0.7471864333,t4:0.1415483968):0.1452196729,t7:0.1414899665):0.4162546985,t1:0.04560896335):0.1359617095,(t6:0.2111461903,t5:0.2744406317):0.4230443418);
(((t3:0.7218128492,(t1:0.7703674615,t2:0.9867576901):0.4284774158):0.3042563614,t7:0.4073367834):0.4199473627,((t4:0.4456946356,t6:0.3536279323):0.2509959813,t5:0.2958720098):0.903505981);
((t2:0.7805729576,t1:0.8666904639):0.7011068643,((t6:0.298696334,t7:0.8810561819):0.1660179808,((t5:0.8540464598,t3:0.374172268):0.3770657582,t4:0.4140931577):0.1235425847):0.4814993432);
(((t7:0.2044301874,t2:0.3119023009):0.1485032942,(t1:0.0665550211,t5:0.5794685364):0.9795182026):0.8240311968,((t6:0.3423681327,t3:0.5084631203):0.1032831948,t4:0.9369640572):0.776502012);
((((t2:0.831809026,t3:0.6398046387):0.4921017443,t4:0.7381147367):0.2077299338,t5:0.4357577744):0.4030405239,((t1:0.4476768619,t6:0.6188611833):0.482864782,t7:0.6162373757):0.5881361337);
((t5:0.8601603846,(t4:0.4699306202,t1:0.03225319367):0.3135621874):0.3792346336,(t7:0.820361034,(t2:0.1590970261,(t6:0.01771280356,t3:0.1359942576):0.9699499549):0.6797498646):0.8389316699);
(((t2:0.5684399803,t1:0.8782213831):0.2714143158,((t7:0.4797745671,t3:0.8858879299):0.03367357072,t6:0.6601817508):0.8309982447):0.1521094949,(t5:0.03454030212,t4:0.1088314147):0.5501789069);
(((t4:0.9285281715,t5:0.263377358):0.95934372,(t1:0.6161306696,(t2:0.6137308693,(t6:0.5547788485,t7:0.3999074758):0.8203215052):0.7224251137):0.06745064468):0.7883491425,t3:0.3421260677);
((t6:0.5580840451,t3:0.1740944786):0.333585145,(t4:0.2084877933,(((t2:0.2744717412,t5:0.07342257537):0.575235853,t7:0.3494921383):0.01235462842,t1:0.440904445):0.8464070088):0.6065424269);
((t5:0.5952641417,(t6:0.764779022,t7:0.5300840146):0.8616845747):0.3723869387,((t1:0.542259794,(t3:0.9118040316,t4:0.08296250831):0.3911381343):0.1304112407,t2:0.60327255):0.8596337826);
((t6:0.8617436027,(t1:0.2570776518,(t3:0.1477276776,(t7:0.8957010212,t2:0.299622023):0.7435980244):0.5454749651):0.5117659541):0.1771897085,(t4:0.5134493778,t5:0.5784023264):0.2318561173);
(t3:0.5697558743,(t4:0.6496832604,((((t2:0.2482919714,t1:0.3640534014):0.7417624095,t5:0.8429141708):0.01616016822,t7:0.05539373052):0.811628809,t6:0.8997459209):0.06978791882):0.07217905344);
(t2:0.7146028886,(((t4:0.8160536343,t1:0.3381503474):0.4140595025,((t7:0.09778940189,t6:0.1108886786):0.9016741847,t3:0.06847399729):0.05241863499):0.2195203989,t5:0.3207140057):0.687723008);
(((t4:0.7971109264,t7:0.3410146956):0.4939295033,t6:0.07208620501):0.7718151272,(((t5:0.2582967486,t1:0.4696052524):0.2517710938,t2:0.580430317):0.8965910401,t3:0.6535286591):0.8728744586);
(((t2:0.6941430029,t1:0.2595907007):0.4042869424,t5:0.07795007131):0.4031159244,((t3:0.4378121032,(t6:0.7376384903,t7:0.2516746558):0.8109306162):0.7977104969,t4:0.8822702619):0.06761777028);
(((t4:0.6732646713,t6:0.7954912933):0.1439275355,((t2:0.9745559283,(t3:0.9680823409,t5:0.3400632942):0.6414115683):0.7312672823,t1:0.7866240963):0.4340049119):0.830128754,t7:0.1213291436);
(t5:0.556786655,(t4:0.2498586371,(t2:0.5186696376,((t6:0.7148733556,(t1:0.5639223724,t3:0.0139796997):0.1325326245):0.4769541365,t7:0.5265240048):0.7160075114):0.6222111599):0.2834378819);
((t6:0.4871680748,t7:0.5788835224):0.002801382216,(((t3:0.3098302921,t1:0.1874215249):0.4047785567,(t2:0.1038923976,t5:0.7610609699):0.7063935522):0.3235712994,t4:0.8874451714):0.8278720046);
((t4:0.03131893557,((t6:0.4273965314,t7:0.3823023718):0.6009436387,(t2:0.8962518196,t5:0.8939851676):0.9646862957):0.5585793434):0.1889153805,(t3:0.3257894842,t1:0.1248132996):0.05483896984);
(t1:0.4077230559,(((t7:0.8381156467,t2:0.7381536243):0.677416997,(t6:0.9005899059,t5:0.4822958547):0.7235054199):0.5096013963,(t3:0.8909171978,t4:0.1725840429):0.6149399343):0.5905659779);
((t1:0.5316393301,(t3:0.5216433161,t4:0.1806522997):0.5465874122):0.8426171439,(((t6:0.6464769018,t2:0.9558215642):0.9603267799,t7:0.5161854564):0.7772081655,t5:0.6193586499):0.7315131153);
((t4:0.9214443488,((t7:0.9087264976,t3:0.7056883348):0.6735163319,t6:0.7297833047):0.354123048):0.9740369965,(t5:0.5849920628,(t2:0.7053869599,t1:0.6963000055):0.9677527419):0.2667826426);
(t4:0.1674538997,(((t2:0.2795868278,t1:0.8809406052):0.1966310721,t5:0.813804063):0.6862117404,((t6:0.137940187,t7:0.3424083553):0.2926670518,t3:0.02472049301):0.2987549328):0.03899348597);
((t7:0.9308541445,((t4:0.6694477834,t2:0.4838445075):0.2502835994,((t5:0.5123764887,t6:0.623294275):0.4810510336,t3:0.6712326631):0.5040696496):0.02094886987):0.4532551914,t1:0.6315482361);
