((t6:0.8225739298,t1:0.4087018084):0.6235530858,(((t3:0.8743317241,t5:0.5898637846):0.4452828444,t2:0.3409535014):0.7751271643,t4:0.3703632264):0.760751049);
((t1:0.2010902639,(t3:0.6001102985,t5:0.4918881645):0.124376385):0.0749575051,((t2:0.1780308683,t6:0.4749120763):0.6228502195,t4:0.8042404803):0.5789986018);
((t3:0.104715073,(t1:0.9029879586,t5:0.3540248184):0.8125712192):0.8160723094,((t4:0.9410503141,t2:0.6287245662):0.6108251347,t6:0.9519800947):0.9569694421);
((t2:0.8270365472,((t1:0.3106302433,t6:0.6405196835):0.1508439193,t5:0.6773739427):0.1469643151):0.02227779059,(t4:0.2191280464,t3:0.6381116118):0.148317287);
((t3:0.6523824148,(t5:0.1389505486,(t4:0.4457512631,t1:0.5785803692):0.2164210172):0.9382397626):0.8246035236,(t6:0.5127539507,t2:0.6432601043):0.6325301714);
(((t3:0.4379384294,t4:0.8718408803):0.5930603782,t2:0.02495314903):0.3748270895,((t5:0.6494659351,t1:0.9573214829):0.9920104635,t6:0.2268032036):0.2614884966);
((((t5:0.8644741564,t1:0.6806898401):0.4120253986,(t3:0.4695716288,t6:0.7750309007):0.2392820844):0.7258480845,t2:0.4691174177):0.8971783728,t4:0.1970118866);
((t3:0.1207963519,(t2:0.6699452235,t6:0.4872367501):0.5006193055):0.05354919191,((t1:0.1413910314,t4:0.4908034662):0.132081501,t5:0.3042622218):0.9407752568);
((t4:0.7795406815,(t1:0.5357815244,t6:0.6107652001):0.9145027667):0.2461790657,(t2:0.7457907342,(t5:0.2422231988,t3:0.9972945899):0.6990449252):0.6078679801);
(t1:0.1487687253,((t5:0.9378294074,(t6:0.8348263931,t2:0.2688033343):0.523243133):0.339584169,(t4:0.523052054,t3:0.2072199234):0.9563012375):0.2320230864);
((t5:0.4852740883,((t6:0.3643580154,(t1:0.2219618906,t3:0.5658706506):0.7216218926):0.1032847736,t2:0.2798634628):0.3988821055):0.909943881,t4:0.334360718);
(((t6:0.403458382,(t1:0.6281187052,t4:0.9801047065):0.3185513243):0.9631034513,(t3:0.856387387,t2:0.05570479296):0.1216545247):0.9737055383,t5:0.3514402837);
(((t2:0.08962585591,t4:0.8069412683):0.7610067287,(t6:0.6518264879,t5:0.1152211616):0.7758652116):0.7097991845,(t1:0.6082608823,t3:0.5536896382):0.1296580024);
(((t4:0.6402570507,(t2:0.5632844791,t3:0.3106655534):0.5730402546):0.9245380266,(t5:0.4428924862,t1:0.3540836961):0.5122747559):0.2016402776,t6:0.01730199088);
(((t1:0.613912961,t5:0.5320188485):0.6884508554,t2:0.4023325287):0.8908871773,((t4:0.131106352,t6:0.284856936):0.2572971906,t3:0.5922103191):0.06677867845);
((t2:0.7168505243,t4:0.7027604317):0.7087115881,((t1:0.5689645419,(t6:0.4037734787,t3:0.3230541165):0.2334565613):0.3882813619,t5:0.3586626523):0.4133034311);
((t3:0.4391798351,(t2:0.2708866,(t5:0.08839163696,t4:0.5425562919):0.3436644026):0.3663514019):0.7952931533,(t6:0.8908752371,t1:0.6835873891):0.4624509269);
((t1:0.3993991343,t2:0.5018086194):0.4647286544,(t6:0.5807587656,(t3:0.08967131237,(t5:0.5971422684,t4:0.480521301):0.4451604448):0.7993582026):0.9539435809);
((((t3:0.9580773176,t6:0.5027668832):0.6262976709,t1:0.2576547214):0.4323247587,t2:0.6072808276):0.2246306748,(t5:0.7824184485,t4:0.4062313212):0.09480810445);
(t4:0.01326293871,((t2:0.9580941047,t5:0.6691020818):0.5262293867,(t6:0.03170047654,(t1:0.1796128938,t3:0.5045148486):0.3333268443):0.5985165073):0.9974621439);
((((t2:0.1172566325,(t5:0.2498063538,t1:0.5851501802):0.1433800417):0.3752158713,t3:0.8161841335):0.6772484188,t6:0.9019675187):0.1951381569,t4:0.2862074461);
((((t4:0.6623772969,t3:0.9587976753):0.1238471735,t5:0.1991743324):0.2573666717,(t2:0.2043227965,t6:0.4275361539):0.7650391094):0.8650228695,t1:0.9056958321);
(t3:0.08457119041,(((t4:0.4446103247,t1:0.6196479509):0.1517402725,t6:0.3472420943):0.8661408378,(t5:0.7043809269,t2:0.8840265465):0.7483220189):0.6648853559);
(((t3:0.8461833147,(t2:0.9681051576,t5:0.5166375455):0.2278557548):0.03691880894,t1:0.7856644182):0.7945032285,(t6:0.7966960296,t4:0.5044273359):0.2562281212);
(t5:0.2928539771,(((t2:0.5650211095,t3:0.3672456481):0.8584111263,t4:0.06530975504):0.9540002963,(t1:0.03584923572,t6:0.917681678):0.5037005811):0.04545368301);
((t1:0.7232992745,t5:0.2241626012):0.2362298658,(t4:0.9379895653,(t2:0.652740893,(t6:0.6247182668,t3:0.4037032195):0.3293357249):0.8585634299):0.755725841);
(((t3:0.005079169059,t1:0.2133967853):0.4312064906,t2:0.541749052):0.7154805691,((t6:0.7304470639,t4:0.03245135723):0.7988985337,t5:0.8442720477):0.2844884892);
((t1:0.1793777968,(t4:0.2100922521,(t3:0.8120743237,t2:0.2299203263):0.698303354):0.5571298548):0.9667867643,(t5:0.6216674636,t6:0.4968984579):0.3648774943);
(((t4:0.7578537408,t2:0.7782838098):0.9125618313,(t1:0.02601416712,t3:0.5397721252):0.4035067123):0.6188105259,(t6:0.5253658986,t5:0.8250617734):0.2872392891);
((t4:0.5110761893,(t1:0.4476905293,(t3:0.8986055211,(t5:0.08477560803,t6:0.7779438253):0.5857254975):0.8067732251):0.1732387717):0.9014870613,t2:0.4393258898);
((t3:0.831628425,(t2:0.5788633027,(t5:0.9453726117,t1:0.7991093101):0.2824974991):0.5734782415):0.08879898512,(t4:0.01872210484,t6:0.2523540058):0.3501245275);
(t6:0.5878165229,((t2:0.598950346,t3:0.4819416651):0.5529238766,((t4:0.1924378111,t5:0.6481281226):0.7057888461,t1:0.823959521):0.1647598715):0.604142773);
((t3:0.2519508253,(t2:0.5794475586,(t1:0.02902307967,t5:0.3963035047):0.3820105323):0.2427185376):0.6477048886,(t4:0.07442220976,t6:0.4310879093):0.7470045364);
(((t3:0.132254493,t4:0.1361727822):0.1204957324,((t1:0.7784223156,t6:0.2502923063):0.549505793,t2:0.3580349521):0.242455059):0.4779595609,t5:0.9591347503);
(t1:0.6221047863,((((t3:0.8150928998,t5:0.1610569921):0.5693875083,t4:0.694458151):0.7887576546,t6:0.9842764046):0.1297889974,t2:0.2147603955):0.7109735578);
(((t4:0.5147232041,t2:0.7314102957):0.3479712929,t6:0.2350469998):0.2948571632,(t3:0.4712804619,(t1:0.5852692118,t5:0.6588568632):0.3566391952):0.84063853);
((t2:0.575835713,(t3:0.8292158111,(t4:0.6829504906,t6:0.8218932522):0.1633433753):0.7008288507):0.5888543269,(t5:0.7484956537,t1:0.6936624667):0.3243484006);
((t5:0.1882376438,t4:0.4522981844):0.3960428471,((t2:0.5118141959,t1:0.9809795883):0.1191945078,(t6:0.5032054016,t3:0.888176312):0.3090634735):0.1099501415);
((((t2:0.2448044789,t6:0.4056865845):0.353511984,t5:0.7179389296):0.6670808876,t3:0.1021568733):0.463593689,(t1:0.5172170405,t4:0.7403214758):0.5954943926);
((t2:0.7448696434,(t4:0.8489312257,(t6:0.6276653577,(t3:0.9713270804,t5:0.08315375471):0.9690348909):0.8336202609):0.5501425816):0.8052521846,t1:0.8429126001);
((t5:0.3980419396,t4:0.2355261378):0.2177715681,(t3:0.4063115441,(t6:0.1289194576,(t1:0.4604503505,t2:0.7553534077):0.1935640208):0.3587398068):0.4795166133);
((t3:0.08523527533,(t5:0.5772385965,t6:0.6844433674):0.4259461013):0.9209576042,(t4:0.5129098906,(t2:0.6520486365,t1:0.9641017804):0.5387816264):0.8508315673);
((t3:0.9287714481,t1:0.8857934857):0.8528401807,(t4:0.7026899552,(t5:0.9015434964,(t2:0.5278392509,t6:0.5957436617):0.2439274145):0.130966492):0.2502752009);
(t6:0.1367724603,(((t3:0.7294177816,t2:0.01851402223):0.9822065672,(t5:0.2450079562,t4:0.0888572908):0.3793274763):0.6959830192,t1:0.5957295264):0.6526206499);
(((t4:0.5672200157,t1:0.7432032293):0.5325680024,t2:0.02976045269):0.0321934449,(t5:0.09882859699,(t3:0.8502292624,t6:0.1675861599):0.02019576286):0.8003748895);
(t1:0.4343640669,((t3:0.2663499806,(t4:0.2073450256,t5:0.5816264083):0.2468309586):0.4932366377,(t2:0.5989465448,t6:0.4749891299):0.5710163419):0.6046810404);
((t2:0.5094537942,t4:0.73524054):0.4457635309,((t6:0.1569203131,t3:0.638243974):0.1409208535,(t5:0.9702599063,t1:0.01683133678):0.3960402997):0.5914660031);
((t2:0.5032262087,(t1:0.5938070253,t4:0.7131523276):0.8511854913):0.8758400828,((t6:0.8010289625,t3:0.1987448828):0.7998459933,t5:0.5693613351):0.0351165873);
((t3:0.7072203956,(t5:0.4594982828,t2:0.4841718844):0.7711634671):0.194820289,((t4:0.3682014528,t1:0.9022010195):0.02992245648,t6:0.9408676142):0.2925154138);
((t5:0.07194513711,(t4:0.5652851476,((t3:0.3545930861,t2:0.6694747121):0.6676035929,t6:0.9729987443):0.5945317671):0.9219836777):0.6518783898,t1:0.1113376883);
(t3:0.6502203669,(t1:0.2756793713,((t4:0.3395634887,t5:0.9664976713):0.9020763214,(t6:0.3182553721,t2:0.121622294):0.7494714204):0.4873221687):0.493870728);
((t4:0.5548970245,(t6:0.2282297388,(t5:0.5420296004,(t2:0.4601338694,t1:0.2149804647):0.7651370445):0.424780678):0.03181670909):0.2321218264,t3:0.9501487287);
((t4:0.7444366375,t2:0.8590900786):0.5934543924,((t1:0.6033369736,t3:0.5440798914):0.2123504227,(t6:0.4501875257,t5:0.5677381223):0.5870837243):0.5968812178);
(((t6:0.2034909569,t2:0.1076984822):0.8312627701,t1:0.00318323425):0.8146571286,((t5:0.9632004211,t4:0.3200181997):0.5362120818,t3:0.189953058):0.8557952512);
((((t3:0.5354503694,t1:0.1633866883):0.5071587998,t2:0.2143775304):0.5553068863,t4:0.1506466304):0.8378389729,(t5:0.1979856954,t6:0.9925352489):0.9252253657);
((t1:0.0880891236,((t4:0.2150972511,t5:0.8680432821):0.9246477389,t3:0.5205309244):0.9330950377):0.3235822138,(t2:0.9590397382,t6:0.6950251837):0.9983787134);
((t3:0.5695583187,(t2:0.128032899,t1:0.7040817633):0.7126809913):0.6603188901,((t6:0.1392322651,t5:0.1965406202):0.974837167,t4:0.1371077797):0.4912670096);
(t5:0.2294222158,((t4:0.7968397278,(t3:0.8106124983,(t2:0.08129744511,t1:0.09109393065):0.1494615476):0.7411832698):0.3639858093,t6:0.3907168845):0.7097108474);
(t1:0.5691966421,((t6:0.7546525586,t4:0.05330426292):0.07467345195,(t2:0.8624612549,(t5:0.7612097249,t3:0.8869544067):0.2173746089):0.1489533121):0.4913113064);
(t1:0.8746119724,(t5:0.5613452005,(t6:0.02943322924,((t3:0.8261549214,t2:0.785491639):0.6094284428,t4:0.9729743886):0.7225414342):0.1602273972):0.7810460269);
((t6:0.2188826571,t5:0.1110632808):0.1987083722,((t1:0.3867372628,t4:0.4764977256):0.8405094505,(t3:0.3747803967,t2:0.8357299992):0.2115512332):0.9172993798);
(t5:0.2672843884,(t2:0.9128585835,(t6:0.02232948295,(t4:0.1363140922,(t1:0.2386684888,t3:0.0524698256):0.8944315373):0.857884438):0.2771946057):0.6034971545);
((((t1:0.4904870784,(t5:0.1666644076,t4:0.3108318751):0.4587855535):0.5287782368,t3:0.371838432):0.1402722795,t2:0.8832388846):0.1578079928,t6:0.8349639063);
(((t1:0.07723882073,t5:0.3497130184):0.9465430735,(t3:0.1142236579,t4:0.3740755219):0.2066987145):0.8891906554,(t6:0.6430056577,t2:0.7121664761):0.09874793258);
((t6:0.2010971042,t4:0.9110924781):0.6871159803,((t1:0.2260675395,t3:0.6206119431):0.01456187107,(t2:0.777528214,t5:0.2457008446):0.3664161372):0.8782190606);
(((t5:0.8267322192,(t1:0.6492707992,t3:0.9878351912):0.760922702):0.9553485324,(t6:0.2022441532,t4:0.5654089204):0.4439838456):0.2638386162,t2:0.3654981647);
(((t5:0.3500703091,(t2:0.0613060873,t6:0.6194267687):0.9003594527):0.8527087921,(t1:0.5408019901,t3:0.3261624144):0.7693882459):0.6444921463,t4:0.5895516791);
(t2:0.2913735213,(t6:0.9031122169,((t5:0.208533807,(t3:0.9019167335,t4:0.2449040075):0.5799773699):0.6530306963,t1:0.5421054382):0.7988585781):0.7831462517);
((t6:0.2769927175,t3:0.06088914815):0.6972328955,((t1:0.1520700371,(t4:0.4029481383,t5:0.2432682985):0.4412132064):0.5556138859,t2:0.3171732128):0.5316467106);
((t5:0.2367737659,t3:0.1533453159):0.1756424601,((t2:0.7395259193,(t1:0.5558857289,t4:0.2964720156):0.04922960233):0.3540704618,t6:0.3247001325):0.1111324262);
(t6:0.7059176976,((t1:0.5087402796,t4:0.2474225592):0.7690575984,(t2:0.1041899286,(t5:0.9106605856,t3:0.2398060127):0.8583780101):0.1307421499):0.8171139779);
((t3:0.7628134794,t5:0.8439320633):0.09978427622,((t2:0.8365468194,t4:0.3721136395):0.5815127736,(t6:0.6189566543,t1:0.2930788333):0.1496661424):0.03214551276);
(t3:0.9813298234,((t5:0.5520780918,(t4:0.5611783566,t6:0.4506640716):0.2868051869):0.7476888578,(t2:0.4292858401,t1:0.8265376585):0.2055698629):0.08556582429);
(((t1:0.04076885176,t5:0.3483500895):0.09430126334,(t6:0.5974422963,(t3:0.839128495,t4:0.8383722927):0.3093979103):0.7118480608):0.5642852657,t2:0.2857181646);
((t6:0.06622007815,(t2:0.5893523502,t5:0.7253533809):0.7590093829):0.5032102275,(t4:0.8213106834,(t3:0.4280488275,t1:0.500645333):0.4271702734):0.9023723132);
(((t5:0.4432781017,t4:0.5712421096):0.315634242,(t2:0.02380531956,(t1:0.2851873792,t3:0.7293299206):0.1037035035):0.7756742351):0.6248792575,t6:0.638479834);
(((t5:0.2885450346,t4:0.8008320911):0.2318825833,(t2:0.07053437177,t3:0.9776541637):0.8257445064):0.3943602415,(t1:0.592027548,t6:0.9334562283):0.9942810684);
(((t2:0.4836001326,t5:0.7618807857):0.944280314,((t3:0.5608170098,t4:0.8491301062):0.4360203408,t1:0.5674092742):0.2176137776):0.8157482494,t6:0.8477730341);
(t3:0.1349022477,((t5:0.8413857406,(t2:0.5642362172,t6:0.2334182682):0.1263090773):0.9415202111,(t1:0.1415915212,t4:0.44270656):0.09465642553):0.8904150871);
((t6:0.64039546,((t4:0.3507681799,t3:0.1254848975):0.6171285212,t1:0.0947695463):0.4066475902):0.578131509,(t5:0.573256661,t2:0.1999501453):0.5664400964);
(((t4:0.7628480063,t5:0.5345013414):0.2943935257,(t6:0.1038058186,t2:0.9972709538):0.7141937916):0.1418150347,(t1:0.3022048248,t3:0.6505849699):0.8556572616);
((t5:0.5956467264,(t2:0.26698573,t4:0.9031103416):0.03049268154):0.7121125022,((t6:0.6034655066,t3:0.04109847359):0.6343411247,t1:0.1878757724):0.3378634583);
((t4:0.05870266142,t5:0.6201834471):0.3484268633,(t6:0.6513042983,((t3:0.8796999762,t2:0.2886093289):0.591601884,t1:0.2372597957):0.1462549984):0.8727693006);
((t3:0.7795354039,(t6:0.8656174282,((t5:0.5138636045,t1:0.5742378726):0.5214179687,t4:0.2935869403):0.2183697852):0.3615681569):0.2083798104,t2:0.6622406987);
((t6:0.03079863405,(t5:0.7240370605,t4:0.03461226216):0.3585966299):0.4837542337,(t1:0.9492363171,(t2:0.05679539335,t3:0.9513253078):0.8084608808):0.2549296473);
(t2:0.8032252064,((t1:0.3102462348,t6:0.6497858008):0.8443151733,(t4:0.3620604565,(t5:0.5231436421,t3:0.7760328574):0.7070870677):0.2941873795):0.1320021327);
((t2:0.7105708281,(t6:0.7890945375,t3:0.2949151201):0.8928316066):0.1835381445,(t1:0.9503359797,(t4:0.7421461085,t5:0.556741887):0.8964753747):0.4959887664);
(((t2:0.6210811909,t6:0.1517186326):0.5363216249,t3:0.3860157353):0.1440226187,((t5:0.4212424182,t1:0.3135045122):0.03600606555,t4:0.4635121836):0.3546470948);
(t6:0.2327567127,(((t2:0.1468478329,t5:0.6876618494):0.2789898147,(t3:0.1737618858,t4:0.2295753076):0.6647179571):0.4813304669,t1:0.02657593274):0.9200768096);
(((t4:0.4174726801,t3:0.7941841455):0.1357045975,t1:0.1352246557):0.4382935034,((t5:0.4514768061,t6:0.002744056284):0.7828574565,t2:0.5776029541):0.5156408511);
(((t1:0.8042194627,t4:0.5025637629):0.7390962467,t3:0.4131067821):0.8012355505,(t5:0.4787343538,(t2:0.4928924965,t6:0.1336751371):0.5555521832):0.4250496526);
((((t2:0.7784968237,t6:0.9432930939):0.08529637661,t5:0.7718028252):0.4591458412,t4:0.8634028537):0.7291301752,(t3:0.7222519794,t1:0.6188200526):0.3453115628);
(t4:0.9113745647,((t2:0.9522622351,t5:0.05678631598):0.4003003412,((t1:0.8845760638,t6:0.680870153):0.4368524209,t3:0.2083797455):0.3938843112):0.5843800372);
(((t2:0.4302259327,t5:0.2909791556):0.5211260112,t1:0.0672200839):0.7917209058,((t4:0.2619048411,t6:0.5728488241):0.129208293,t3:0.4732324239):0.8140336878);
(t1:0.3412943284,(t5:0.6148673312,(t3:0.4086378487,((t6:0.2369046286,t2:0.9187462803):0.2590275861,t4:0.3279385513):0.2393421461):0.2696765303):0.9730212218);
((t2:0.2357251511,((t6:0.1062186596,t5:0.6512163728):0.3996900821,t1:0.7119263161):0.8532987623):0.6668995875,(t3:0.9094982815,t4:0.379446401):0.2211059139);
(((t3:0.8742708093,t6:0.6161864935):0.0255907469,(t5:0.4279029947,(t1:0.3789576942,t2:0.636092118):0.6096469662):0.308799871):0.4396012768,t4:0.1000151441);
(t2:0.3795373684,(((t1:0.08254621061,t4:0.850705253):0.6680273865,t6:0.7524834056):0.4568625123,(t3:0.4896509142,t5:0.6675024431):0.6110857525):0.1887656795);
(((((t2:0.7719268422,t6:0.6540727522):0.7875095105,t3:0.8759786149):0.976679208,t1:0.9516900941):0.2302843505,t5:0.06292114221):0.08125350601,t4:0.8889773025);
(((t5:0.5480249475,(t1:0.6517924652,t4:0.5555109812):0.8678642809):0.5856943664,t6:0.8829758007):0.0757324181,(t2:0.3452595156,t3:0.5088948354):0.3611735438);
(((t4:0.9075630726,t3:0.9514934067):0.9571734699,t6:0.8139547296):0.4687765432,((t1:0.544004888,t5:0.01591712958):0.9510371443,t2:0.7505444123):0.6800687716);
(((t4:0.4197250514,t1:0.7727109706):0.4227330741,t5:0.9991620088):0.2718268842,((t6:0.6189082831,t3:0.9300754988):0.9184024795,t2:0.3165136406):0.4887126321);
(((t5:0.1581894297,t4:0.5472604623):0.5001817876,t1:0.7758487859):0.725540299,((t3:0.8766628415,t2:0.1951198222):0.3441078651,t6:0.4233454764):0.4754206119);
((((t2:0.5236173114,t3:0.2439788375):0.1875167759,t4:0.09067602572):0.02674791939,(t1:0.5809167582,t5:0.7066007375):0.1322685056):0.7339620166,t6:0.6167334982);
((t6:0.9559165016,(t2:0.4648261389,(t4:0.2384374614,(t1:0.7169947131,t5:0.4430024843):0.8001252383):0.2076259789):0.9702831472):0.7422386252,t3:0.584720209);
(((t1:0.05401933892,t5:0.7436794685):0.3940174913,t3:0.2994193346):0.3916503983,(t6:0.8804819398,(t2:0.8405925124,t4:0.4421546331):0.06973302085):0.5121710547);
((t5:0.3713132595,t1:0.9376923849):0.6190339988,(t4:0.3865996557,(t6:0.6959753572,(t3:0.4764893395,t2:0.530742039):0.991730012):0.2626537369):0.8355809227);
((t4:0.0809376603,t2:0.9676922059):0.1950426192,(t1:0.596301591,((t3:0.188393156,t6:0.5077005711):0.4828342684,t5:0.4669930793):0.2251145062):0.6982231357);
((t6:0.3184423714,t2:0.9076923854):0.4551151765,((t4:0.3369692853,t5:0.1358371018):0.5792275157,(t1:0.8726956325,t3:0.3020862611):0.4009579485):0.5459862321);
((t3:0.5967028614,t6:0.4267136594):0.8712350558,((t2:0.4187061696,t1:0.04309717845):0.7210561878,(t5:0.4453509797,t4:0.7222355856):0.9553284703):0.6761087107);
(t5:0.7371927158,(t2:0.1044692087,(t6:0.2614736727,(t3:0.2820786077,(t4:0.6665490509,t1:0.6078252024):0.8878567161):0.949964358):0.6961152081):0.6054898927);
((t5:0.4474870849,(t6:0.01887171343,t4:0.200212769):0.05006223824):0.2444820011,((t1:0.9623531103,t2:0.7440170671):0.4159154384,t3:0.7765599347):0.6460917222);
(t2:0.6455491367,(((t6:0.9681831393,t4:0.5026446912):0.0916991008,(t3:0.06673809304,t1:0.7055977783):0.3618705955):0.9632149248,t5:0.746000815):0.08391567762);
((t1:0.9156561312,(t4:0.6128704262,t2:0.7123460243):0.9686646645):0.6610099175,(t5:0.4916056115,(t3:0.8742209424,t6:0.9173673757):0.9334371963):0.5510832807);
((t2:0.1024754806,t6:0.4165325866):0.1764205955,(t5:0.8374274727,(t3:0.601741578,(t1:0.6399279491,t4:0.594895747):0.6248984893):0.5052168921):0.2451937452);
((t4:0.2729570714,t3:0.1132626357):0.1248654558,(t1:0.3541438414,(t6:0.04975875351,(t2:0.8538224606,t5:0.2179002916):0.9121687552):0.261953051):0.4313863581);
(((t6:0.790399123,t5:0.4982930694):0.3667845996,((t2:0.9176821942,t3:0.673256106):0.6898318431,t1:0.02217396745):0.8163568622):0.5240315245,t4:0.3757524421);
(((t1:0.8704172254,(t3:0.2188340358,t5:0.6127305843):0.3371270727):0.6503678001,t4:0.6610624401):0.1605589963,(t6:0.4526448017,t2:0.6040101659):0.9111477928);
((((t3:0.1824820498,t5:0.09352065739):0.2107677974,(t4:0.2614518013,t1:0.7135760216):0.8928719941):0.1247106139,t2:0.9693231969):0.5029529242,t6:0.274927028);
((t1:0.72926623,t6:0.1748470918):0.5948814936,((t3:0.9338583793,t4:0.2972251112):0.3607927726,(t5:0.3163358625,t2:0.0007728810888):0.3173055414):0.9889701295);
((t5:0.4017327735,(t4:0.2505929468,t1:0.174110624):0.8043106901):0.9569790896,(t6:0.1661090204,(t3:0.943121748,t2:0.3341161457):0.2331349966):0.4546544657);
((t6:0.1622204948,(t3:0.5827244867,t4:0.005262065446):0.158052081):0.6343465936,(t2:0.3242626402,(t1:0.8282398812,t5:0.01020156243):0.7240775577):0.4197069122);
(((t6:0.1456331646,t5:0.6697351884):0.3800490336,t1:0.5770356462):0.9200146706,((t2:0.09625192499,t3:0.4436948404):0.9172431075,t4:0.5193872373):0.2589282522);
(((t3:0.8534561181,(t2:0.8885093196,t5:0.6826356964):0.2679146072):0.7754534606,(t6:0.0396336324,t1:0.3492519076):0.2542015521):0.4931874934,t4:0.2871900585);
(((t1:0.8086435734,t2:0.4780279989):0.5012782102,((t3:0.4981563978,t6:0.3166075626):0.3204976595,t5:0.8227023953):0.9768943372):0.3965839499,t4:0.6461051342);
((t2:0.8500758416,(t6:0.9186116992,t3:0.7877075549):0.7613380307):0.5767773259,((t1:0.1504794871,t5:0.2358295494):0.1451551367,t4:0.1107005903):0.3650217128);
((t2:0.5177104159,t3:0.8927795601):0.2651400282,((t1:0.7409658104,(t4:0.936102255,t6:0.5650686587):0.1538198902):0.5956207213,t5:0.5543958298):0.4301936165);
(((t2:0.6909592939,t5:0.4942934904):0.4806521006,t4:0.4799102186):0.1421309998,((t3:0.4517834813,t6:0.2351030617):0.5506442825,t1:0.07862700475):0.7903435505);
((t4:0.4399114954,t3:0.955814607):0.6150460087,((t2:0.7573987381,t5:0.8428847771):0.2175378914,(t6:0.2079443259,t1:0.6247403501):0.5463559288):0.614606638);
(t1:0.05900626234,((t5:0.4007412596,((t2:0.07073105802,t4:0.3378817711):0.4291809334,t3:0.3355627004):0.9055012104):0.8047022133,t6:0.1276602736):0.1165860884);
(((t6:0.1443238892,t5:0.3337383047):0.9414878802,t3:0.3706959004):0.1308699495,(t4:0.7138640326,(t1:0.66153206,t2:0.762384573):0.2076074213):0.7899487847);
((t4:0.8483076866,(t3:0.2997443548,(t1:0.9640572139,t2:0.6945798863):0.8144924969):0.5941674404):0.95580047,(t6:0.6812214807,t5:0.814041914):0.1540091306);
(((t4:0.006408859277,t5:0.812638815):0.4629464047,(t1:0.58812437,t2:0.9024205343):0.4809837183):0.5250155923,(t6:0.2387887142,t3:0.4432981231):0.7440182429);
((((t1:0.2634611519,(t6:0.8916119372,t3:0.07942730305):0.5164225246):0.06199063105,t5:0.6555262629):0.01392483641,t2:0.1480665572):0.468522823,t4:0.2540352736);
(t2:0.8481465313,(t5:0.3033667877,(((t6:0.9017915826,t1:0.5937914359):0.8079711013,t3:0.4474827221):0.2842704798,t4:0.9356175445):0.03943287302):0.7801492836);
((t6:0.2959505282,t1:0.8165940302):0.1845328498,((t5:0.5593419992,(t3:0.6208828988,t2:0.8517580631):0.3953486218):0.984965822,t4:0.07354162447):0.1071928744);
((t5:0.6266076099,((t1:0.1565996623,t3:0.972427082):0.8262860004,(t6:0.4855743682,t4:0.1325391366):0.1964298876):0.04282800294):0.4010184181,t2:0.3901030454);
(((t4:0.5300254729,t1:0.1817981908):0.1288269912,(t3:0.7858039129,t6:0.4473774189):0.9859857992):0.1231227184,(t2:0.9647093944,t5:0.2466546467):0.749287203);
(((t6:0.1137856173,t4:0.7584819365):0.4618371502,(t2:0.4870335178,t1:0.7869552528):0.03902375884):0.737161146,(t3:0.8518304147,t5:0.6225579637):0.3040077151);
((t4:0.3331748743,(((t3:0.9226018493,t2:0.9431350539):0.4502368153,t6:0.9069958364):0.6189114056,t5:0.7990668311):0.9959776467):0.5216801246,t1:0.2178190462);
((t6:0.5774373692,(((t1:0.5748040667,t5:0.9572836391):0.4904704918,t4:0.06163150538):0.817781362,t2:0.6168563096):0.9798512054):0.01085956744,t3:0.5111134481);
(((t2:0.5384396317,t6:0.6471124734):0.3660219819,t4:0.4060217128):0.7906785067,((t3:0.2813096428,t5:0.1569049319):0.7435876476,t1:0.3496136575):0.5230406083);
(((t2:0.6767465658,t4:0.3224503107):0.7271592943,(t3:0.6724547062,(t5:0.9305609905,t1:0.1605335227):0.3587493652):0.131973007):0.1344781809,t6:0.9135160735);
(((t4:0.07224884094,t3:0.7744382427):0.6717363691,(t1:0.7877499245,(t2:0.278710383,t6:0.439283211):0.7256812628):0.2063326167):0.9321371415,t5:0.08623523568);
(((t1:0.015821154,t6:0.6196215933):0.4196371271,(t4:0.7854759467,t3:0.4765139557):0.6502094523):0.524426271,(t5:0.5397010737,t2:0.8553849016):0.3589377648);
(((t6:0.559830483,t2:0.5473281997):0.5629319246,(t4:0.4775358308,t1:0.4365394039):0.909526065):0.02031271835,(t3:0.7501820808,t5:0.3851235178):0.8222667633);
(((t6:0.9853243614,t2:0.3790476613):0.8493589617,t5:0.9206791671):0.2630022895,((t4:0.2082871993,t1:0.8658583588):0.8393492866,t3:0.2919508205):0.2027453228);
(((t2:0.03241564939,(t3:0.5347622971,t6:0.1339646138):0.006510979263):0.8984315647,t4:0.6344982574):0.9908351903,(t5:0.2435125832,t1:0.5137745382):0.004148322623);
(((t2:0.3883935765,t3:0.6499577134):0.6289990544,(t4:0.2478327143,t6:0.2303429551):0.7675255144):0.0220606809,(t5:0.8987517434,t1:0.5155270589):0.5552134775);
